"time"	"choice"	"pair"	"task"	"rater"	"IDl"	"IDr"	"sex"	"ratingl"	"ratingr"	"heightl"	"heightr"	"weightl"	"weightr"	"agel"	"ager"	"heightsl"	"heightsr"	"weightsl"	"weightsr"	"agesl"	"agesr"
4.623	"Bormir82"	"Dusrad95|Bormir82"	"body.form"	"R00003"	"Dusrad95"	"Bormir82"	"F"	3.02	3.25	187.9	192.2	75.8	85.7	21	33	1.17138526544289	1.79459958731036	-0.51397221634779	0.370782893323541	-0.96277979954661	1.08407489240288
9.561	"Slojan94"	"Svoale85|Slojan94"	"body.form"	"R00004"	"Svoale85"	"Slojan94"	"F"	2.91	4.9	170.9	178	67.9	76.9	31	22	-1.29248530938199	-0.263457010484541	-1.21998892002491	-0.415666093050975	0.742932443744628	-0.792208575217486
4.009	"Ondpet80"	"Lehpet88|Ondpet80"	"body.form"	"R00004"	"Lehpet88"	"Ondpet80"	"F"	4.45	5.03	176.4	183.4	74.8	98.7	29	36	-0.495350711644529	0.519184230930422	-0.603341419344894	1.53258253228589	0.40178999508638	1.59578856539025
6.559	"Kvatom96"	"Svoale85|Kvatom96"	"body.form"	"R00004"	"Svoale85"	"Kvatom96"	"F"	2.91	4.33	170.9	171.4	67.9	71.5	31	19	-1.29248530938199	-1.22001852776949	-1.21998892002491	-0.898259789235337	0.742932443744628	-1.30392224820486
5.327	"Podjak84"	"Durmic90|Podjak84"	"body.form"	"R00004"	"Durmic90"	"Podjak84"	"F"	3.15	4.5	173.7	185.9	71.9	79.4	25	31	-0.886671332352012	0.881518138992905	-0.862512108036495	-0.192243085558215	-0.280494902230115	0.742932443744628
5.917	"Miljir90"	"Miljir90|Jankov90"	"body.form"	"R00004"	"Miljir90"	"Jankov90"	"F"	5.41	3.79	177.8	173	79.2	71.4	27	26	-0.292443723129538	-0.988124826609506	-0.210116926157636	-0.907196709535047	0.0606475464281327	-0.109923677900991
16.464	"Mibdav96"	"Svoale85|Mibdav96"	"body.form"	"R00004"	"Svoale85"	"Mibdav96"	"F"	2.91	4.56	170.9	172	67.9	65.6	31	20	-1.29248530938199	-1.1330583898345	-1.21998892002491	-1.42553808691825	0.742932443744628	-1.13335102387573
10.364	"Trlmar94"	"Kuzmat95|Trlmar94"	"body.form"	"R00004"	"Kuzmat95"	"Trlmar94"	"F"	5	4.99	175	183.5	85.1	85.2	20	22	-0.69825770015952	0.533677587252921	0.317161371525278	0.326098291824989	-1.13335102387573	-0.792208575217486
3.743	"Balatt81"	"Schvac86|Balatt81"	"body.form"	"R00004"	"Schvac86"	"Balatt81"	"F"	3.81	5.59	187.6	172.4	74.7	81.1	29	34	1.12790519647539	-1.0750849645445	-0.612278339644604	-0.0403154404631386	0.40178999508638	1.254646116732
2.244	"janbal79"	"janbal79|Kvatom96"	"body.form"	"R00004"	"janbal79"	"Kvatom96"	"F"	4.65	4.33	187.7	171.4	93.1	71.5	37	19	1.14239855279789	-1.22001852776949	1.03211499550211	-0.898259789235337	1.76635978971937	-1.30392224820486
6.45	"Kvatom96"	"Kvatom96|stanik99"	"body.form"	"R00004"	"Kvatom96"	"stanik99"	"F"	4.33	4.9	171.4	174	71.5	92.3	19	18	-1.22001852776949	-0.843191263384513	-0.898259789235337	0.960619633104427	-1.30392224820486	-1.47449347253398
10.041	"Svajak84"	"Kvatom96|Svajak84"	"body.form"	"R00004"	"Kvatom96"	"Svajak84"	"F"	4.33	3.09	171.4	179.4	71.5	68.7	19	31	-1.22001852776949	-0.0605500219695497	-0.898259789235337	-1.14849355762723	-1.30392224820486	0.742932443744628
2.479	"Dvodav92"	"Dvodav92|Dusrad95"	"body.form"	"R00004"	"Dvodav92"	"Dusrad95"	"F"	5.08	3.02	167.7	187.9	65.5	75.8	24	21	-1.75627271170197	1.17138526544289	-1.43447500721796	-0.51397221634779	-0.451066126559239	-0.96277979954661
3.949	"Hudjan95"	"Fajjan99|Hudjan95"	"body.form"	"R00004"	"Fajjan99"	"Hudjan95"	"F"	2.86	5.5	186.2	175.7	78.5	76.2	18	21	0.9249982079604	-0.596804205902026	-0.272675368255609	-0.478224535148948	-1.47449347253398	-0.96277979954661
4.085	"Ondpet80"	"Ondpet80|Jankov90"	"body.form"	"R00004"	"Ondpet80"	"Jankov90"	"F"	5.03	3.79	183.4	173	98.7	71.4	36	26	0.519184230930422	-0.988124826609506	1.53258253228589	-0.907196709535047	1.59578856539025	-0.109923677900991
5.098	"Podjak84"	"Salpav84|Podjak84"	"body.form"	"R00004"	"Salpav84"	"Podjak84"	"F"	3.23	4.5	187.2	185.9	88.3	79.4	32	31	1.06993177118539	0.881518138992905	0.603142821116011	-0.192243085558215	0.913503668073752	0.742932443744628
12.703	"Beljak94"	"Beljak94|Zamdan92"	"body.form"	"R00004"	"Beljak94"	"Zamdan92"	"F"	3.54	3	190.5	175	86.7	68	22	23	1.54821252982787	-0.69825770015952	0.460152096320645	-1.2110519997252	-0.792208575217486	-0.621637350888362
15.808	"Mibdav96"	"Ledzde83|Mibdav96"	"body.form"	"R00004"	"Ledzde83"	"Mibdav96"	"F"	6.49	4.56	186.5	172	112.4	65.6	33	20	0.9684782769279	-1.1330583898345	2.75694061334622	-1.42553808691825	1.08407489240288	-1.13335102387573
4.766	"Mibdav96"	"Schvac86|Mibdav96"	"body.form"	"R00004"	"Schvac86"	"Mibdav96"	"F"	3.81	4.56	187.6	172	74.7	65.6	29	20	1.12790519647539	-1.1330583898345	-0.612278339644604	-1.42553808691825	0.40178999508638	-1.13335102387573
7.208	"Staond81"	"Svoale85|Staond81"	"body.form"	"R00004"	"Svoale85"	"Staond81"	"F"	2.91	4.13	170.9	175.3	67.9	84	31	35	-1.29248530938199	-0.65477763119202	-1.21998892002491	0.218855248228464	0.742932443744628	1.42521734106112
